# Updated 03/12/2025: removed duplicate points
x,y,z  
-1.1408,5.9914,13.1217  
-0.8198,5.9914,12.9169  
-0.9965,6.0277,12.6398  
-1.3213,6.0293,12.8387  
-1.1648,6.1347,12.3760  
-1.4928,6.1408,12.5699  
-1.3165,6.3073,12.1382  
-1.6467,6.3206,12.3288  
-1.4444,6.5373,11.9378  
-1.7751,6.5594,12.1274  
-1.5422,6.8135,11.7845  
-1.8718,6.8455,11.9759  
-1.6053,7.1227,11.6856  
-1.9318,7.1643,11.8818  
-1.6306,7.4500,11.6458  
-1.7723,7.4500,11.7362  
-1.9521,7.5000,11.8499  
-1.7723,7.5500,11.7362  
-1.9318,7.8357,11.8818  
-1.8718,8.1545,11.9759  
-1.7751,8.4406,12.1274  
-1.6467,8.6794,12.3288  
-1.4928,8.8592,12.5699  
-1.3213,8.9707,12.8387  
-1.1408,9.0086,13.1217  
-0.9603,8.9707,13.4047  
-0.7888,8.8592,13.6736  
-0.6350,8.6794,13.9147  
-0.5065,8.4406,14.1161  
-0.4098,8.1545,14.2676  
-1.5492,9.0709,12.9721  
-1.0363,9.1001,12.8595  
-1.3633,9.1086,13.2637  
-0.8590,9.1001,13.1375  
-1.1773,9.0709,13.5552  
-0.6854,9.0329,13.4095  
-1.0000,8.9599,13.8331  
-0.5229,8.9013,13.6644  
-0.8397,8.7806,14.0843  
-0.3781,8.7109,13.8912  
-0.7039,8.5414,14.2972  
-0.2573,8.4696,14.0806  
-0.5989,8.2535,14.4618  
-0.1655,8.1876,14.2245  
-0.5297,7.9303,14.5703  
-0.1066,7.8767,14.3169  
-0.4994,7.5871,14.6178  
-0.0829,7.5500,14.3540  
-0.3390,7.5500,14.5173  
-1.2098,9.0329,12.5875  
-1.7265,8.9599,12.6942  
-1.3724,8.9013,12.3327  
-1.8868,8.7806,12.4430  
-1.5171,8.7109,12.1058  
-2.0226,8.5414,12.2301  
-1.6379,8.4696,11.9164  
-2.1276,8.2535,12.0655  
-1.7297,8.1876,11.7725  
-2.1968,7.9303,11.9570  
-1.7887,7.8767,11.6801  
-2.2271,7.5871,11.9095  
-1.8123,7.5500,11.6430  
-1.9933,7.5500,11.7585  
-1.9933,7.4500,11.7585  
-2.2170,7.2398,11.9254  
-1.8123,7.4500,11.6430  
-1.7887,7.1233,11.6801  
-2.1669,6.9046,12.0039  
-1.7297,6.8124,11.7725  
-2.0793,6.5973,12.1412  
-1.6379,6.5304,11.9164  
-1.9582,6.3322,12.3311  
-1.5171,6.2891,12.1058  
-1.8093,6.1217,12.5645  
-1.3724,6.0987,12.3327  
-1.6395,5.9756,12.8306  
-1.2098,5.9671,12.5875  
-1.4568,5.9009,13.1170  
-1.0363,5.8999,12.8595  
-1.2697,5.9009,13.4103  
-0.8590,5.8999,13.1375  
-0.6854,5.9671,13.4095  
-1.0870,5.9756,13.6967  
-0.5229,6.0987,13.6644  
-0.9173,6.1217,13.9628  
-0.3781,6.2891,13.8912  
-0.7683,6.3322,14.1962  
-0.2573,6.5304,14.0806  
-0.6472,6.5973,14.3861  
-0.1655,6.8124,14.2245  
-0.5596,6.9046,14.5234  
-0.1066,7.1233,14.3169  
-0.5096,7.2398,14.6019  
-0.0829,7.4500,14.3540  
-0.3390,7.4500,14.5173  
-1.0958,8.8219,12.7214  
-0.9273,8.8586,12.9856  
-1.0368,8.9390,13.0428  
-0.7588,8.8219,13.2497  
-0.7671,8.8460,13.3689  
-0.7671,8.8460,13.6518  
-0.5994,8.7141,13.4996  
-0.5318,8.6400,13.6302  
-0.4577,8.5407,13.7218  
-0.5318,8.5902,13.8646  
-0.3413,8.3113,13.9043  
-0.3394,8.2785,13.9598  
-0.3394,8.1680,14.1119  
-0.2564,8.0381,14.0372  
-0.3394,8.0284,14.2376  
-0.2078,7.7359,14.1135  
-0.3394,7.8656,14.3316  
-0.2274,7.1104,14.0828  
-0.1979,7.4210,14.1290  
-0.2946,6.8207,13.9775  
-0.3394,6.8320,14.1119  
-0.3394,6.9716,14.2376  
-0.3394,7.1344,14.3316  
-0.3394,6.7215,13.9598  
-0.3959,6.5677,13.8187  
-0.5318,6.4098,13.8646  
-0.5318,6.3600,13.6302  
-0.7671,6.1540,13.6518  
-0.6774,6.2234,13.3773  
-0.7671,6.1539,13.3697  
-0.8425,6.1506,13.1185  
-1.0368,6.0610,13.0428  
-1.0122,6.1506,12.8526  
-1.1772,6.2234,12.5938  
-0.5258,6.3649,13.6149  
-1.3288,6.3649,12.3562  
-1.3316,6.2965,12.4267  
-1.3316,6.0975,12.7006  
-1.4588,6.5677,12.1525  
-1.5601,6.8207,11.9937  
-1.6411,6.8211,11.9855  
-1.6411,6.5189,12.1600  
-1.6411,7.1530,11.8777  
-1.6567,7.4210,11.8421  
-1.6469,7.7359,11.8576  
-1.6411,7.8470,11.8777  
-1.5982,8.0381,11.9339  
-1.6411,8.1789,11.9855  
-1.5134,8.3113,12.0668  
-1.6411,8.4811,12.1600  
-1.3970,8.5407,12.2493  
-1.3316,8.7035,12.4267  
-1.2552,8.7141,12.4715  
-1.3316,8.9025,12.7006  
-1.6273,7.1104,11.8883  
-1.3816,5.8777,13.6844  
-1.4111,5.8710,13.3391  
-1.5671,5.8414,13.3937  
-1.7525,5.8777,13.1030  
-1.7671,5.9093,12.9935  
-1.9299,5.9848,12.8249  
-1.2043,5.9848,13.9624  
-1.0706,6.0463,13.9827  
-1.0428,6.1582,14.2156  
-0.9042,6.3902,14.4328  
-0.7612,6.4974,14.4131  
-0.7946,6.6707,14.6046  
-0.7612,6.7070,14.6018  
-0.7187,6.9875,14.7235  
-0.6800,7.3266,14.7843  
-0.6800,7.6734,14.7843  
-0.7187,8.0125,14.7235  
-0.7612,8.2930,14.6018  
-0.7946,8.3293,14.6046  
-0.7612,8.5026,14.4131  
-0.9042,8.6098,14.4328  
-1.0428,8.8418,14.2156  
-1.0706,8.9537,13.9827  
-1.2043,9.0152,13.9624  
-1.3816,9.1223,13.6844  
-1.4111,9.1290,13.3391  
-1.7525,9.1223,13.1030  
-1.7671,9.0907,12.9935  
-1.9299,9.0152,12.8249  
-1.7671,8.9485,12.6741  
-2.0914,8.8418,12.5718  
-2.1223,8.7119,12.4192  
-2.2300,8.6098,12.3546  
-2.1223,8.4585,12.1911  
-2.3396,8.3293,12.1827  
-2.4154,8.0125,12.0638  
-2.4542,7.6734,12.0031  
-2.4542,7.3266,12.0031  
-2.4154,6.9875,12.0638  
-2.3396,6.6707,12.1827  
-2.1223,6.5415,12.1911  
-2.2300,6.3902,12.3546  
-2.1223,6.2881,12.4192  
-2.0914,6.1582,12.5718  
-1.7671,6.0515,12.6741  
-1.5671,9.1586,13.3937  
-2.5414,7.0950,11.8663  
-2.5651,7.4500,11.8292  
-2.5651,7.5500,11.8292  
-2.5414,7.9050,11.8663  
-2.4816,8.2449,11.9601  
-2.3878,8.5572,12.1072  
-2.2635,8.8302,12.3020  
-2.1133,9.0539,12.5374  
-1.9429,9.2198,12.8045  
-1.7586,9.3219,13.0935  
-1.5671,9.3564,13.3937  
-1.3756,9.3219,13.6938  
-1.1912,9.2198,13.9828  
-1.0208,9.0539,14.2500  
-0.8707,8.8302,14.4853  
-0.7464,8.5572,14.6801  
-0.6526,8.2449,14.8272  
-0.5927,7.9050,14.9210  
-0.5690,7.5500,14.9582  
-0.5690,7.4500,14.9582  
-0.5687,7.4500,14.9587  
-2.4816,6.7551,11.9601  
-2.3878,6.4428,12.1072  
-2.2635,6.1698,12.3020  
-2.1133,5.9461,12.5374  
-1.9429,5.7802,12.8045  
-1.7586,5.6781,13.0935  
-1.5671,5.6436,13.3937  
-1.3756,5.6781,13.6938  
-1.1912,5.7802,13.9828  
-1.0208,5.9461,14.2500  
-0.8707,6.1698,14.4853  
-0.7464,6.4428,14.6801  
-0.6526,6.7551,14.8272  
-0.5927,7.0950,14.9210  
-0.5687,7.5500,14.9587  
-2.5655,7.5500,11.8286  
-2.5655,7.4500,11.8286  
-2.3237,7.4500,11.7323  
-2.2254,7.1068,11.7461  
-2.2254,6.7765,11.8539  
-1.8678,7.0942,11.6897  
-1.8678,6.7534,11.8010  
-2.0711,7.4500,11.6698  
-1.8678,6.4401,11.9754  
-1.8678,6.1660,12.2066  
-1.5057,6.1748,12.2152  
-1.8678,5.9412,12.4859  
-1.5057,5.9515,12.4927  
-1.8678,5.7743,12.8022  
-1.5057,5.7856,12.8072  
-1.5057,5.6826,13.1488  
-1.1529,5.7630,13.1648  
-1.1529,5.7289,13.5035  
-0.8225,5.8774,13.5041  
-1.1529,5.7603,13.8425  
-0.8225,5.9061,13.8147  
-0.8225,5.9938,14.1140  
-0.8225,6.1371,14.3910  
-0.5269,6.3130,14.2774  
-0.5269,6.4817,14.4903  
-0.2773,6.5335,14.1349  
-0.2773,6.6708,14.3083  
-0.2773,6.8388,14.4522  
-0.2773,7.0312,14.5613  
-0.2773,7.2410,14.6316  
-0.5269,7.1819,14.8873  
-0.3794,7.4500,14.7801  
-1.1529,5.8612,12.8387  
-0.5269,6.1118,13.7754  
-0.5269,6.1882,14.0361  
-0.2163,7.4500,14.5774  
-0.5269,6.9243,14.8010  
-0.5269,6.6880,14.6670  
-2.2254,6.2073,12.2469  
-2.2254,6.4729,12.0229  
-1.8678,7.9058,11.6897  
-2.0711,7.5500,11.6698  
-2.2254,7.8932,11.7461  
-2.3237,7.5500,11.7323  
-2.2254,8.2235,11.8539  
-2.2254,8.5271,12.0229  
-2.2254,8.7927,12.2469  
-1.8678,9.0588,12.4859  
-1.8678,8.8340,12.2066  
-1.8678,9.2257,12.8022  
-1.5057,9.2144,12.8072  
-1.5057,9.3174,13.1488  
-1.1529,9.1388,12.8387  
-1.1529,9.2370,13.1648  
-0.8225,9.1226,13.5041  
-0.8225,9.0939,13.8147  
-0.5269,8.8882,13.7754  
-0.5269,8.8118,14.0361  
-0.5269,8.6870,14.2774  
-0.2773,8.4665,14.1349  
-0.2773,8.3292,14.3083  
-0.2773,8.1612,14.4522  
-0.2773,7.9688,14.5613  
-0.2773,7.7590,14.6316  
-0.5269,8.0757,14.8010  
-0.5269,7.8181,14.8873  
-1.1529,9.2711,13.5035  
-1.1529,9.2397,13.8425  
-0.8225,9.0062,14.1140  
-0.8225,8.8629,14.3910  
-0.5269,8.3120,14.6670  
-0.5269,8.5183,14.4903  
-0.3794,7.5500,14.7801  
-0.2163,7.5500,14.5774  
-1.5057,9.0485,12.4927  
-1.5057,8.8252,12.2152  
-1.8678,8.5599,11.9754  
-1.8678,8.2466,11.8010  
-0.0868,7.5500,14.0597  
-1.5096,7.5500,11.7467  
-1.5096,7.4500,11.7467  
-1.3980,7.4500,11.6755  
-1.3715,7.1340,11.7170  
-1.3060,6.8382,11.8198  
-1.2050,6.5791,11.9780  
-1.0744,6.3711,12.1828  
-0.9211,6.2257,12.4230  
-0.7539,6.1509,12.6852  
-0.5818,6.1509,12.9549  
-0.4146,6.2257,13.2171  
-0.2614,6.3711,13.4573  
-0.1307,6.5791,13.6621  
-0.0298,6.8382,13.8203  
0.0358,7.1340,13.9230  
0.0623,7.4500,13.9646  
-0.0868,7.4500,14.0597  
0.1014,7.5500,13.7616  
-0.1366,7.7265,13.8893  
-0.0224,7.5500,13.8406  
-0.1264,7.4241,13.9053  
-0.0224,7.4500,13.8406  
0.1014,7.4500,13.7616  
0.0772,7.1699,13.7237  
-0.1569,7.1265,13.8574  
0.0186,6.9079,13.6318  
-0.2263,6.8524,13.7487  
-0.0712,6.6786,13.4910  
-0.3301,6.6190,13.5859  
-0.1874,6.4946,13.3090  
-0.4619,6.4409,13.3793  
-0.3234,6.3659,13.0958  
-0.6134,6.3294,13.1418  
-0.4717,6.2998,12.8632  
-0.7751,6.2914,12.8884  
-0.6243,6.2998,12.6240  
-0.9367,6.3294,12.6350  
-0.7727,6.3659,12.3914  
-1.0882,6.4409,12.3976  
-0.9087,6.4946,12.1782  
-1.2200,6.6190,12.1910  
-1.0248,6.6786,11.9962  
-1.3239,6.8524,12.0282  
-1.1147,6.9079,11.8553  
-1.3932,7.1265,11.9194  
-1.1733,7.1699,11.7635  
-1.4238,7.4241,11.8716  
-1.1975,7.4500,11.7256  
-1.2924,7.4500,11.7861  
-1.2924,7.5500,11.7861  
-1.4135,7.7265,11.8876  
-1.1975,7.5500,11.7256  
-1.1733,7.8301,11.7635  
-1.3632,8.0146,11.9665  
-1.1147,8.0921,11.8553  
-1.2759,8.2704,12.1034  
-1.0248,8.3214,11.9962  
-1.1571,8.4777,12.2895  
-0.9087,8.5054,12.1782  
-1.0143,8.6237,12.5134  
-0.7727,8.6341,12.3914  
-0.8565,8.6990,12.7607  
-0.6243,8.7002,12.6240  
-0.4717,8.7002,12.8632  
-0.6936,8.6990,13.0161  
-0.3234,8.6341,13.0958  
-0.5358,8.6237,13.2635  
-0.1874,8.5054,13.3090  
-0.3930,8.4777,13.4873  
-0.0712,8.3214,13.4910  
-0.2743,8.2704,13.6735  
0.0186,8.0921,13.6318  
-0.1870,8.0146,13.8103  
0.0772,7.8301,13.7237  
-0.6581,6.4414,12.8138  
-0.7865,6.3159,12.8267  
-0.8055,6.4775,12.5828  
-0.9428,6.5833,12.3676  
-1.0927,6.5959,12.2660  
-1.0607,6.7515,12.1828  
-1.1512,6.9707,12.0410  
-1.2080,7.2260,11.9518  
-1.2274,7.5000,11.9214  
-1.2080,7.7740,11.9518  
-1.1512,8.0293,12.0410  
-1.0607,8.2485,12.1828  
-1.0927,8.4041,12.2660  
-0.9428,8.4167,12.3676  
-0.8055,8.5225,12.5828  
-0.6581,8.5586,12.8138  
-0.7865,8.6841,12.8267  
-0.5227,6.4191,13.1592  
-0.5108,6.4775,13.0448  
-0.3128,6.6490,13.4209  
-0.3735,6.5833,13.2600  
-0.3128,6.6490,13.5998  
-0.2556,6.7515,13.4449  
-0.1651,6.9707,13.5867  
-0.1660,6.9890,13.6764  
-0.1660,7.0346,13.7790  
-0.1082,7.2260,13.6758  
-0.0888,7.5000,13.7063  
-0.1082,7.7740,13.6758  
-0.1660,7.9654,13.7790  
-0.1660,8.0110,13.6764  
-0.3128,8.3510,13.5998  
-0.1651,8.0293,13.5867  
-0.3128,8.3510,13.4209  
-0.3735,8.4167,13.2600  
-0.5227,8.5809,13.1592  
-0.5108,8.5225,13.0448  
-0.2556,8.2485,13.4449  
0.0417,7.4500,14.0401  
0.0180,7.4500,14.1146  
-0.0488,7.0122,14.1113  
-0.0488,6.9012,14.0008  
-0.0488,6.8147,13.8702  
-0.2148,6.4757,13.8057  
-0.2148,6.4372,13.5934  
-0.4305,6.1866,13.3456  
-0.6887,6.0433,13.0154  
-0.9813,6.0303,12.6487  
-0.9813,6.2339,12.3704  
-1.2987,6.4241,12.0502  
-1.2987,6.7401,11.8635  
-1.5527,7.4500,11.6525  
-1.4751,7.4500,11.6623  
-0.5944,8.5246,12.4578  
-0.4514,8.5586,12.6819  
-0.3084,8.5246,12.9061  
-0.7282,8.4250,12.2479  
-0.8443,8.2660,12.0660  
-0.9352,8.0579,11.9235  
-0.9951,7.8140,11.8297  
-1.0200,7.5500,11.7905  
-1.1045,7.5500,11.8444  
-1.1045,7.4500,11.8444  
-1.0200,7.4500,11.7905  
-0.9951,7.1860,11.8297  
-0.9352,6.9421,11.9235  
-0.8443,6.7340,12.0660  
-0.7282,6.5750,12.2479  
-0.5944,6.4754,12.4578  
-0.4514,6.4414,12.6819  
-0.3084,6.4754,12.9061  
-0.1745,6.5750,13.1159  
-0.0584,6.7340,13.2979  
0.0324,6.9421,13.4404  
0.0923,7.1860,13.5342  
0.1173,7.4500,13.5734  
0.0100,7.4500,13.6418  
0.0100,7.5500,13.6418  
0.1173,7.5500,13.5734  
0.0923,7.8140,13.5342  
0.0324,8.0579,13.4404  
-0.0584,8.2660,13.2979  
-0.1745,8.4250,13.1159  
0.1088,7.5500,13.6991  
0.1141,7.5500,13.6363  
0.0620,7.9216,13.6896  
0.0620,7.9483,13.6047  
0.0620,7.9581,13.5163  
-0.0689,8.3034,13.3630  
-0.2699,8.5616,13.0914  
-0.5327,8.6937,12.7446  
-0.8462,8.4391,12.1708  
-1.0784,7.5500,11.7669  
-1.1376,7.5500,11.7452  
-0.2905,7.4500,14.4511  
-0.2905,7.5500,14.4511  
-0.2452,7.4500,14.3826  
-0.2452,7.5500,14.3826  
0.0152,7.4500,13.5806  
0.0152,7.5500,13.5806  
0.0183,7.4500,13.5193  
0.0183,7.5500,13.5193  
0.0192,7.4500,13.4578  
0.0192,7.5500,13.4578  
0.1141,7.4500,13.6363  
0.1088,7.4500,13.6991  
0.0620,7.0784,13.6896  
0.0620,7.0517,13.6047  
0.0620,7.0419,13.5163  
-0.0689,6.6966,13.3630  
-0.2699,6.4384,13.0914  
-0.5327,6.3063,12.7446  
-0.8462,6.5609,12.1708  
-1.1376,7.4500,11.7452  
-1.0784,7.4500,11.7669  
-0.8973,7.5468,13.0326  
-1.0369,7.5242,13.1343  
-0.8882,7.5000,13.0470  
-1.0369,7.4758,13.1343  
-0.8973,7.4532,13.0326  
-1.0536,7.4387,13.1081  
-0.9205,7.4283,12.9962  
-1.0792,7.4303,13.0679  
-0.9469,7.4369,12.9549  
-1.1018,7.4545,13.0326  
-0.9641,7.4751,12.9278  
-1.1107,7.5000,13.0186  
-0.9641,7.5249,12.9278  
-1.1018,7.5455,13.0326  
-0.9469,7.5631,12.9549  
-1.0792,7.5697,13.0679  
-0.9205,7.5717,12.9962  
-1.0536,7.5613,13.1081  
-1.3358,7.4572,13.3066  
-1.1833,7.4765,13.2253  
-1.3275,7.5000,13.3197  
-1.1833,7.5235,13.2253  
-1.3358,7.5428,13.3066  
-1.1995,7.5594,13.1999  
-1.3570,7.5655,13.2734  
-1.2244,7.5676,13.1609  
-1.3812,7.5576,13.2356  
-1.2462,7.5441,13.1266  
-1.3969,7.5228,13.2109  
-1.2549,7.5000,13.1131  
-1.3969,7.4772,13.2109  
-1.2462,7.4559,13.1266  
-1.3812,7.4424,13.2356  
-1.2244,7.4324,13.1609  
-1.3570,7.4345,13.2734  
-1.1995,7.4406,13.1999  
-0.3671,8.2214,12.9062  
-0.5393,8.3577,12.7381  
-0.4932,8.2586,12.7086  
-0.7036,8.3718,12.5392  
-0.6192,8.2214,12.5110  
-0.7796,8.3008,12.4081  
-0.7330,8.1137,12.3327  
-0.8302,8.2643,12.3409  
-0.7796,8.0542,12.2657  
-0.9353,8.0950,12.1762  
-0.8232,7.9459,12.1912  
-1.0105,7.8774,12.0583  
-0.8812,7.7344,12.1004  
-1.0496,7.6293,11.9969  
-0.9011,7.5000,12.0691  
-1.0496,7.3707,11.9969  
-0.8812,7.2656,12.1004  
-1.0105,7.1226,12.0583  
-0.8232,7.0541,12.1912  
-0.9353,6.9050,12.1762  
-0.7796,6.9458,12.2657  
-0.8302,6.7357,12.3409  
-0.7330,6.8863,12.3327  
-0.7796,6.6992,12.4081  
-0.6192,6.7786,12.5110  
-0.7036,6.6282,12.5392  
-0.5393,6.6423,12.7381  
-0.5660,6.5914,12.7550  
-0.4283,6.6282,12.9708  
-0.2534,8.1137,13.0845  
-0.3428,8.2672,13.0318  
-0.4283,8.3718,12.9708  
-0.5660,8.4086,12.7550  
-0.1631,7.9459,13.2260  
-0.1971,8.0249,13.1773  
-0.1971,8.0383,13.1996  
-0.3018,8.2643,13.1692  
-0.1971,8.0912,13.3183  
-0.1967,8.0950,13.3339  
-0.1075,7.8010,13.4126  
-0.1215,7.8774,13.4518  
-0.0773,7.5000,13.5104  
-0.1052,7.7344,13.3168  
-0.1075,7.7741,13.3521  
-0.0852,7.5000,13.3481  
-0.1052,7.2656,13.3168  
-0.1631,7.0541,13.2260  
-0.2534,6.8863,13.0845  
-0.1971,6.9617,13.1996  
-0.1075,7.1990,13.4126  
-0.1075,7.2259,13.3521  
-0.3671,6.7786,12.9062  
-0.3428,6.7169,13.0582  
-0.3018,6.7357,13.1692  
-0.1971,6.9088,13.3183  
-0.1967,6.9050,13.3339  
-0.1215,7.1226,13.4518  
-0.4932,6.7414,12.7086  
-0.0823,7.3707,13.5132  
-0.0823,7.6293,13.5132  
-0.3428,8.2831,13.0582  
-0.4401,6.6001,12.5267  
-0.3059,6.6001,12.7371  
-0.1767,6.6680,12.9396  
-0.0623,6.7987,13.1189  
0.0286,6.9823,13.2614  
0.0892,7.2050,13.3564  
0.1149,7.4500,13.3967  
-0.5693,6.6680,12.3242  
-0.6836,6.7987,12.1450  
-0.7746,6.9823,12.0025  
-0.8352,7.2050,11.9075  
-0.8609,7.4500,11.8671  
-0.9384,7.4500,11.9166  
-0.9384,7.5500,11.9166  
-0.8609,7.5500,11.8671  
-0.8352,7.7950,11.9075  
-0.7746,8.0177,12.0025  
-0.6836,8.2013,12.1450  
-0.5693,8.3320,12.3242  
-0.4401,8.3999,12.5267  
-0.3059,8.3999,12.7371  
-0.1767,8.3320,12.9396  
-0.0623,8.2013,13.1189  
0.0286,8.0177,13.2614  
0.0892,7.7950,13.3564  
0.1149,7.5500,13.3967  
-0.7170,7.5500,11.9536  
-0.7898,7.5500,12.0000  
-0.7898,7.4500,12.0000  
-0.7170,7.4500,11.9536  
-0.6907,7.2279,11.9947  
-0.6302,7.0302,12.0896  
-0.5409,6.8748,12.2296  
-0.4308,6.7755,12.4021  
-0.3099,6.7414,12.5917  
-0.1890,6.7755,12.7813  
-0.0789,6.8748,12.9538  
0.0104,7.0302,13.0938  
0.0709,7.2279,13.1886  
0.0972,7.4500,13.2298  
0.0099,7.4500,13.2854  
0.0099,7.5500,13.2854  
0.0972,7.5500,13.2298  
0.0709,7.7721,13.1886  
0.0104,7.9698,13.0938  
-0.0789,8.1252,12.9538  
-0.1890,8.2245,12.7813  
-0.3099,8.2586,12.5917  
-0.4308,8.2245,12.4021  
-0.5409,8.1252,12.2296  
-0.6302,7.9698,12.0896  
-0.6907,7.7721,11.9947  
-0.7641,7.5500,11.9233  
-0.8121,7.5500,11.8945  
-0.5495,8.2845,12.3117  
-0.2869,8.3036,12.6697  
-0.0835,8.1864,13.0153  
0.0522,7.9017,13.2207  
0.0522,7.8422,13.1524  
0.1107,7.5500,13.3409  
0.1047,7.5500,13.2853  
-0.8121,7.4500,11.8945  
-0.7641,7.4500,11.9233  
-0.5495,6.7153,12.3118  
-0.2869,6.6962,12.6699  
-0.0835,6.8135,13.0155  
0.0522,7.0982,13.2208  
0.0522,7.1577,13.1524  
0.1047,7.4500,13.2853  
0.1107,7.4500,13.3409  
-0.6287,7.5500,12.0756  
-0.6561,7.5500,12.0931  
-0.6022,7.7443,12.1170  
-0.7588,7.6057,12.1672  
-0.7199,7.8043,12.2281  
-0.7588,7.3943,12.1672  
-0.6561,7.4500,12.0931  
-0.6287,7.4500,12.0756  
-0.6022,7.2557,12.1170  
-0.7199,7.1957,12.2281  
-0.5433,7.0879,12.2094  
-0.6468,7.0338,12.3426  
-0.4583,6.9648,12.3427  
-0.5484,6.9281,12.4969  
-0.3564,6.8997,12.5025  
-0.4365,6.8914,12.6724  
-0.2486,6.8997,12.6714  
-0.3245,6.9281,12.8479  
-0.1467,6.9648,12.8312  
-0.2261,7.0338,13.0022  
-0.0616,7.0879,12.9645  
-0.1530,7.1957,13.1167  
-0.0027,7.2557,13.0569  
-0.1141,7.3943,13.1777  
0.0237,7.4500,13.0983  
-0.0148,7.4500,13.1228  
-0.1141,7.6057,13.1777  
-0.0148,7.5500,13.1228  
0.0237,7.5500,13.0983  
-0.0027,7.7443,13.0569  
-0.1530,7.8043,13.1167  
-0.0616,7.9121,12.9645  
-0.2261,7.9662,13.0022  
-0.1467,8.0352,12.8312  
-0.3245,8.0719,12.8479  
-0.2486,8.1003,12.6714  
-0.4365,8.1086,12.6724  
-0.3564,8.1003,12.5025  
-0.5484,8.0719,12.4969  
-0.4583,8.0352,12.3427  
-0.6468,7.9662,12.3426  
-0.5433,7.9121,12.2094  
-0.6997,7.4500,12.0607  
-0.6997,7.5500,12.0607  
-0.7443,7.4500,12.0297  
-0.7443,7.5500,12.0297  
-0.0406,7.5500,13.9146  
-0.0406,7.4500,13.9146  
-0.0621,7.5500,13.9877  
-0.0621,7.4500,13.9877  
-0.4292,8.0500,11.7654  
-0.7126,8.0500,11.7654  
-0.4292,6.9500,11.7654  
-0.7126,6.9500,11.7654  
-0.3398,7.5500,12.2848  
-0.3360,7.7115,12.3065  
-0.3400,7.5500,12.2835  
-0.3278,7.8671,12.3546  
-0.3152,8.0500,12.4277  
-0.3152,8.0122,12.4277  
-0.3152,6.9500,12.4277  
-0.3278,7.1329,12.3546  
-0.3360,7.2885,12.3065  
-0.3400,7.4500,12.2835  
-0.3398,7.4500,12.2848  
-0.3152,6.9878,12.4277  
-0.4501,7.5500,12.1683  
-0.4098,7.7980,12.2422  
-0.4098,8.0422,12.3258  
-0.4201,8.2053,12.4026  
-0.2602,8.0400,12.5194  
-0.3025,8.2384,12.5869  
-0.2034,8.0457,12.6139  
-0.1755,8.0914,12.6952  
-0.1472,8.0291,12.7076  
-0.0053,7.8937,12.9677  
-0.0053,7.7790,12.9008  
0.0680,7.7659,13.1677  
0.0937,7.5500,13.2080  
-0.5701,7.5500,12.0617  
-0.6730,7.7659,12.0062  
-0.6140,7.9580,12.0986  
-0.6987,7.5500,11.9658  
-0.5271,8.1089,12.2348  
-0.1849,8.2053,12.7713  
-0.0778,8.1089,12.9391  
0.0090,7.9580,13.0753  
-0.0053,7.6537,12.8578  
0.0268,7.5500,12.9328  
-0.0809,7.5500,12.6708  
-0.1319,7.5500,12.5762  
-0.1342,7.7157,12.5960  
-0.1394,7.8766,12.6401  
-0.1472,8.0500,12.7076  
-0.3904,7.5737,12.5388  
-0.5317,7.6215,12.3706  
